Department,Date,Code,Expense Type,P.O. No.,Vendor Name,Invoice No.,Invoice Date,From Date,To Date,Base Amount,CGST/ SGST,IGST/ UGST,Total Amount,TDS,Other Charges Deducted,Hand over to F&A,Payment Date,Additional Remarks,FY24 Impact,Invoice Category,Invoice Received from Vendor,GRN Raised,Approved by Checker,Invoice raised by Accounts,Checker Approval,Approvers Approval,Moved to Accounts bucket to Payment Made,Direct Invoice Raised,Approved by Checker,Approved by Approver,Moved to Accounts bucket for Payment,Payment Date,"Payment Terms
(Days)"
Infra,Apr-23,ITIBAI,Opex,DI-1,ABC Technologies,ABCPrimaryAMJ23,01-Apr-23,01-Apr-23,30-Jun-23,"2,12,800","38,304",-,"2,51,104",-,-,-,28-Apr-23,-,"2,12,800",PO Based,28-Mar-23,,,,,,,3-Apr-23,3-Apr-23,3-Apr-23,3-Apr-23,28-Apr-23,45
Infra,Apr-23,ITIBBB,Opex,DI-2,ABC Technologies,ABCSecondaryAMJ23,01-Apr-23,01-Apr-23,30-Jun-23,"9,61,326","1,73,039",-,"11,34,365",-,-,-,28-Apr-23,-,"9,61,326",PO Based,28-Mar-23,,,,,,,3-Apr-23,3-Apr-23,3-Apr-23,3-Apr-23,28-Apr-23,45
Infra,Apr-23,ITIILL,Opex,DI-3,ABC Technologies,MH-23-24-0017,01-Apr-23,01-Apr-23,30-Jun-23,"1,27,500","22,950",-,"1,50,450",-,-,-,25-Apr-23,-,"1,27,500",PO Based,28-Mar-23,,,,,,,3-Apr-23,3-Apr-23,3-Apr-23,3-Apr-23,25-Apr-23,45
Infra,Apr-23,ITIILL,Opex,DI-4,ABC Technologies,MH-23-24-0091,01-Apr-23,01-Apr-23,30-Jun-23,"1,29,999","23,400",-,"1,53,399",-,-,-,25-Apr-23,-,"1,29,999",PO Based,28-Mar-23,,,,,,,3-Apr-23,3-Apr-23,3-Apr-23,3-Apr-23,25-Apr-23,45
Infra,Feb-23,ITIBAI,Opex,DI-5,ABC Technologies,MH-23-24-0100,01-Apr-23,18-Feb-23,30-Jun-23,"1,38,122","24,862",-,"1,62,984",-,-,-,9-May-23,-,"1,38,122",PO Based,28-Mar-23,,,,,,,3-Apr-23,3-Apr-23,3-Apr-23,3-Apr-23,9-May-23,45
Infra,Apr-23,ITIBLT,Opex,XYZCL|XYZ|2023-24|1032,ABC Digital4com,2016 FY-2023-24,07-Apr-23,07-Apr-23,07-Apr-23,"1,82,500","32,850",-,"2,15,350",-,-,13-04-2023,18-May-23,-,"1,82,500",PO Based,10-Apr-23,10-Apr-23,11-Apr-23,14-Apr-23,14-Apr-23,16-May-23,16-May-23,NA,NA,NA,NA,18-May-23,45
Infra,Apr-23,ITIACC,Opex,XYZCL|XYZ|2023-24|1038,ABC Solutions,TSS/006/2324,10-Apr-23,10-Apr-23,10-Apr-23,"4,650",837,-,"5,487",-,-,17-04-2023,29-Apr-23,-,"4,650",PO Based,10-Apr-23,10-Apr-23,17-Apr-23,18-Apr-23,21-Apr-23,21-Apr-23,21-Apr-23,NA,NA,NA,NA,29-Apr-23,45
Infra,Dec-22,ITITVL,Opex,XYZCL|XYZ|2023-24|1058,ABC GmbH,R02140961,11-Apr-23,12-Dec-22,11-Dec-23,"3,78,600","68,148",-,"4,46,748",-,-,17-04-2023,-,-,"3,78,600",PO Based,11-Apr-23,11-Apr-23,17-Apr-23,17-Apr-23,17-Apr-23,17-Apr-23,17-Apr-23,NA,NA,NA,NA,30-Apr-23,45
Infra,Apr-23,ITIACC,Opex,XYZCL|XYZ|2023-24|1076,ABC Computer,23-24/33,12-Apr-23,12-Apr-23,12-Apr-23,"4,600",828,-,"5,428",-,-,17-04-2023,27-Apr-23,-,"4,600",PO Based,12-Apr-23,13-Apr-23,17-Apr-23,18-Apr-23,21-Apr-23,21-Apr-23,21-Apr-23,NA,NA,NA,NA,27-Apr-23,45
Infra,Apr-23,ITIACC,Opex,XYZCL|XYZ|2023-24|1077,ABC Solutions,INV-000046,12-Apr-23,12-Apr-23,12-Apr-23,"29,550","5,319",-,"34,869",-,-,17-04-2023,27-Apr-23,-,"29,550",PO Based,12-Apr-23,13-Apr-23,17-Apr-23,18-Apr-23,21-Apr-23,21-Apr-23,21-Apr-23,NA,NA,NA,NA,27-Apr-23,45
